time,precipitation
2018-08-14 00:00,4.936
2018-08-14 00:30,6.506
2018-08-14 01:00,6.959
2018-08-14 01:30,6.949
2018-08-14 02:00,6.902
2018-08-14 02:30,6.483
2018-08-14 03:00,6.161
2018-08-14 03:30,4.049
2018-08-14 04:00,3.64
2018-08-14 04:30,1.357
2018-08-14 05:00,3.809
2018-08-14 05:30,1.538
2018-08-14 06:00,1.246
2018-08-14 06:30,1.838
2018-08-14 07:00,3.406
2018-08-14 07:30,3.444
2018-08-14 08:00,7.39
2018-08-14 08:30,9.676
2018-08-14 09:00,6.127
2018-08-14 09:30,3.99
2018-08-14 10:00,2.965
2018-08-14 10:30,3.063
2018-08-14 11:00,3.21
2018-08-14 11:30,3.013
2018-08-14 12:00,3.988
2018-08-14 12:30,7.06
2018-08-14 13:00,7.226
2018-08-14 13:30,6.996
2018-08-14 14:00,5.347
2018-08-14 14:30,3.681
2018-08-14 15:00,3.014
2018-08-14 15:30,2.384
2018-08-14 16:00,1.755
2018-08-14 16:30,0.759
2018-08-14 17:00,0.622
2018-08-14 17:30,2.195
2018-08-14 18:00,7.372
2018-08-14 18:30,7.992
2018-08-14 19:00,17.643
2018-08-14 19:30,21.171
2018-08-14 20:00,20.84
2018-08-14 20:30,15.554
2018-08-14 21:00,13.468
2018-08-14 21:30,8.567
2018-08-14 22:00,8.759
2018-08-14 22:30,5.055
2018-08-14 23:00,3.775
2018-08-14 23:30,3.957
2018-08-15 00:00,2.702
2018-08-15 00:30,2.653
2018-08-15 01:00,2.365
2018-08-15 01:30,1.548
2018-08-15 02:00,0.96
2018-08-15 02:30,1.37
2018-08-15 03:00,3.314
2018-08-15 03:30,3.076
2018-08-15 04:00,3.218
2018-08-15 04:30,3.87
2018-08-15 05:00,1.677
2018-08-15 05:30,1.461
2018-08-15 06:00,0.566
2018-08-15 06:30,0.313
2018-08-15 07:00,0.847
2018-08-15 07:30,0.606
2018-08-15 08:00,1.453
2018-08-15 08:30,2.284
2018-08-15 09:00,5.709
2018-08-15 09:30,5.769
2018-08-15 10:00,9.074
2018-08-15 10:30,10.092
2018-08-15 11:00,9.818
2018-08-15 11:30,8.57
2018-08-15 12:00,5.057
2018-08-15 12:30,4.721
2018-08-15 13:00,3.176
2018-08-15 13:30,2.867
2018-08-15 14:00,2.865
2018-08-15 14:30,2.618
2018-08-15 15:00,2.736
2018-08-15 15:30,2.84
2018-08-15 16:00,5.131
2018-08-15 16:30,5.358
2018-08-15 17:00,5.228
2018-08-15 17:30,2.314
2018-08-15 18:00,4.74
2018-08-15 18:30,3.729
2018-08-15 19:00,2.416
2018-08-15 19:30,4.833
2018-08-15 20:00,3.997
2018-08-15 20:30,3.167
2018-08-15 21:00,2.376
2018-08-15 21:30,4.048
2018-08-15 22:00,4.846
2018-08-15 22:30,4.049
2018-08-15 23:00,3.897
2018-08-15 23:30,3.257
2018-08-16 00:00,2.848
2018-08-16 00:30,2.081
2018-08-16 01:00,0.982
2018-08-16 01:30,0.681
2018-08-16 02:00,0.474
2018-08-16 02:30,0.429
2018-08-16 03:00,0.394
2018-08-16 03:30,0.138
2018-08-16 04:00,0.16
2018-08-16 04:30,0.177
2018-08-16 05:00,0.067
2018-08-16 05:30,0.054
2018-08-16 06:00,0.048
2018-08-16 06:30,0.016
2018-08-16 07:00,0.096
2018-08-16 07:30,0.971
2018-08-16 08:00,0.438
2018-08-16 08:30,0.348
2018-08-16 09:00,0
2018-08-16 09:30,0
2018-08-16 10:00,0
2018-08-16 10:30,0.053
2018-08-16 11:00,0
2018-08-16 11:30,0
2018-08-16 12:00,0
2018-08-16 12:30,0
2018-08-16 13:00,0
2018-08-16 13:30,0
2018-08-16 14:00,0
2018-08-16 14:30,0.966
2018-08-16 15:00,2.217
2018-08-16 15:30,4.95
2018-08-16 16:00,4.893
2018-08-16 16:30,6.84
2018-08-16 17:00,5.145
2018-08-16 17:30,4.71
2018-08-16 18:00,3.003
2018-08-16 18:30,1.063
2018-08-16 19:00,1.559
2018-08-16 19:30,1.11
2018-08-16 20:00,2.351
2018-08-16 20:30,2.117
2018-08-16 21:00,1.339
2018-08-16 21:30,0.236
2018-08-16 22:00,0.099
2018-08-16 22:30,0.076
2018-08-16 23:00,0.071
2018-08-16 23:30,0.054
